Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Display,Men 25-34,45 days,0.15,18689.99,5.74,Seattle,English,1928,12234,4,Health & Wellness,2022-10-17
DataTech Solutions,Influencer,Men 18-24,60 days,0.06,13089.33,3.36,Nueva York,French,792,14014,7,Foodies,2022-10-12
Alpha Innovations,Search,All Ages,45 days,0.14,19893.89,2.25,Nueva Orleans,Spanish,194,9289,9,Fashionistas,2022-10-15
Innovate Industries,Display,All Ages,60 days,0.06,15863.49,6.0,Chicago,Mandarin,221,8233,7,Foodies,2022-10-29
DataTech Solutions,Search,Men 25-34,30 days,0.13,12759.54,3.03,Boston,German,1331,2146,8,Tech Enthusiasts,2022-10-17
NexGen Systems,Social Media,All Ages,30 days,0.14,6157.75,4.2,Boston,English,703,10361,3,Fashionistas,2022-10-02
DataTech Solutions,Influencer,All Ages,15 days,0.05,7127.39,7.07,Seattle,Mandarin,1393,19662,5,Fashionistas,2022-10-19
Innovate Industries,Search,Men 18-24,30 days,0.08,19552.01,2.89,Seattle,Mandarin,633,3230,4,Foodies,2022-10-11
TechCorp,Search,Women 35-44,30 days,0.01,8213.69,2.18,Los Ángeles,English,1744,12642,1,Outdoor Adventurers,2022-10-09
Innovate Industries,Email,Women 25-34,15 days,0.02,10462.48,7.01,Washington D.C.,French,183,2627,2,Fashionistas,2022-10-17
DataTech Solutions,Social Media,All Ages,60 days,0.13,13702.73,5.42,Washington D.C.,Mandarin,1780,9291,4,Health & Wellness,2022-10-17
Innovate Industries,Email,Women 25-34,30 days,0.05,5420.06,3.52,San Francisco,Spanish,548,14435,10,Health & Wellness,2022-10-27
Innovate Industries,Influencer,Men 25-34,30 days,0.12,12002.52,3.64,San Francisco,English,1946,13117,2,Outdoor Adventurers,2022-10-23
Innovate Industries,Display,Women 35-44,45 days,0.05,14517.8,3.41,Los Ángeles,Mandarin,1327,5847,6,Fashionistas,2022-10-24
Alpha Innovations,Social Media,All Ages,30 days,0.14,8909.41,4.73,Chicago,English,317,9967,7,Outdoor Adventurers,2022-10-01
DataTech Solutions,Display,Women 35-44,15 days,0.09,7818.17,2.72,Nueva York,Mandarin,513,10560,4,Outdoor Adventurers,2022-10-19
Alpha Innovations,Influencer,Men 25-34,45 days,0.03,19432.55,5.24,Washington D.C.,German,1286,15707,1,Outdoor Adventurers,2022-10-11
