Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Search,Men 25-34,45 days,0.07,16199.47,3.17,Las Vegas,Mandarin,1785,9319,9,Outdoor Adventurers,2022-02-26
DataTech Solutions,Email,Men 25-34,60 days,0.03,15027.64,2.69,Miami,Mandarin,408,13536,8,Tech Enthusiasts,2022-02-12
TechCorp,Display,Men 18-24,45 days,0.06,12111.1,7.71,Boston,French,1230,16197,9,Foodies,2022-02-01
Alpha Innovations,Social Media,Men 18-24,45 days,0.02,12849.69,7.63,Los Ángeles,English,415,3683,10,Foodies,2022-02-22
Alpha Innovations,Influencer,Women 25-34,60 days,0.08,12478.11,5.56,Los Ángeles,French,1729,15289,6,Tech Enthusiasts,2022-02-11
Alpha Innovations,Email,Men 18-24,60 days,0.07,9477.72,4.3,Boston,Spanish,513,5745,2,Foodies,2022-02-11
TechCorp,Email,Men 18-24,30 days,0.12,8338.09,5.29,Seattle,Mandarin,1412,3140,10,Outdoor Adventurers,2022-02-17
Alpha Innovations,Social Media,Men 25-34,60 days,0.12,5555.28,7.69,Seattle,English,1664,1938,4,Health & Wellness,2022-02-10
DataTech Solutions,Email,Women 35-44,45 days,0.11,7527.6,7.16,Miami,English,1232,14584,1,Tech Enthusiasts,2022-02-04
DataTech Solutions,Display,Women 35-44,45 days,0.11,14584.95,6.8,San Francisco,French,1340,18651,7,Health & Wellness,2022-02-13
TechCorp,Display,Women 35-44,30 days,0.13,5308.31,2.69,Nueva Orleans,Mandarin,135,13587,10,Health & Wellness,2022-02-16
NexGen Systems,Display,All Ages,60 days,0.14,11705.41,7.2,Chicago,English,1030,4172,10,Fashionistas,2022-02-11
TechCorp,Email,Men 25-34,15 days,0.02,8565.61,7.75,Washington D.C.,Spanish,1067,8469,6,Fashionistas,2022-02-06
Alpha Innovations,Email,Men 18-24,60 days,0.03,19977.59,3.21,Washington D.C.,Spanish,1131,1676,7,Tech Enthusiasts,2022-02-25
Alpha Innovations,Search,All Ages,60 days,0.06,9012.66,7.78,Chicago,Mandarin,818,13033,8,Foodies,2022-02-03
DataTech Solutions,Email,Women 25-34,45 days,0.11,18687.77,2.24,Washington D.C.,English,1339,12818,2,Foodies,2022-02-03
DataTech Solutions,Email,All Ages,60 days,0.14,9048.52,6.14,Nueva York,Mandarin,1618,6341,3,Fashionistas,2022-02-26
NexGen Systems,Influencer,Women 25-34,15 days,0.1,10414.88,7.69,San Francisco,Mandarin,533,8017,9,Tech Enthusiasts,2022-02-15
NexGen Systems,Search,Men 18-24,45 days,0.12,18491.14,3.52,San Francisco,German,979,9526,8,Outdoor Adventurers,2022-02-22
DataTech Solutions,Social Media,Women 25-34,45 days,0.1,9171.04,4.44,Seattle,Spanish,1429,8779,7,Health & Wellness,2022-02-15
NexGen Systems,Email,Men 18-24,60 days,0.05,5466.77,2.64,Nueva York,German,1981,1296,1,Foodies,2022-02-15
Innovate Industries,Social Media,Men 25-34,45 days,0.07,15954.79,3.93,Nueva Orleans,Mandarin,554,10797,7,Fashionistas,2022-02-19
TechCorp,Social Media,Women 25-34,60 days,0.14,8440.39,3.01,Miami,Spanish,1245,19545,1,Tech Enthusiasts,2022-02-10
Innovate Industries,Search,Men 18-24,15 days,0.05,17255.45,4.9,San Francisco,French,874,11768,5,Health & Wellness,2022-02-14
NexGen Systems,Social Media,All Ages,15 days,0.13,10760.2,4.37,Nueva Orleans,German,1644,2260,8,Tech Enthusiasts,2022-02-24
Alpha Innovations,Influencer,All Ages,30 days,0.14,8851.56,2.97,Washington D.C.,French,1045,5508,6,Fashionistas,2022-02-06
Innovate Industries,Influencer,Men 18-24,45 days,0.06,16353.29,5.82,Los Ángeles,Mandarin,1516,11229,2,Health & Wellness,2022-02-07
