Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Display,Women 25-34,60 days,0.04,9384.86,3.71,Boston,Mandarin,289,11451,5,Fashionistas,2024-03-30
TechCorp,Display,All Ages,60 days,0.07,14643.71,5.19,Los Ángeles,Mandarin,275,10831,6,Foodies,2024-03-10
DataTech Solutions,Influencer,All Ages,45 days,0.09,18004.04,6.35,Boston,English,1312,19106,8,Tech Enthusiasts,2024-03-17
NexGen Systems,Email,Women 35-44,60 days,0.05,10667.47,3.64,Los Ángeles,Mandarin,532,2949,2,Foodies,2024-03-21
NexGen Systems,Search,All Ages,30 days,0.15,15732.74,2.75,Nueva York,German,1008,11142,2,Tech Enthusiasts,2024-03-05
NexGen Systems,Influencer,Men 25-34,15 days,0.14,9386.98,4.32,Las Vegas,French,227,17032,2,Tech Enthusiasts,2024-03-14
Alpha Innovations,Display,Women 25-34,15 days,0.14,17207.15,3.49,Seattle,Mandarin,1870,10081,10,Fashionistas,2024-03-24
DataTech Solutions,Search,Men 18-24,15 days,0.15,17541.44,2.46,Boston,German,1456,3117,4,Tech Enthusiasts,2024-03-03
DataTech Solutions,Influencer,Men 18-24,45 days,0.06,7518.87,2.39,Nueva York,Mandarin,1471,17851,2,Fashionistas,2024-03-15
Alpha Innovations,Display,Women 35-44,30 days,0.04,14369.82,2.65,Chicago,German,906,14271,1,Foodies,2024-03-06
Innovate Industries,Email,Women 25-34,60 days,0.06,13835.79,4.06,Seattle,Spanish,421,14315,1,Health & Wellness,2024-03-16
Alpha Innovations,Social Media,Women 25-34,45 days,0.11,12686.82,3.09,Los Ángeles,Spanish,1663,16179,4,Outdoor Adventurers,2024-03-10
Alpha Innovations,Social Media,Women 35-44,60 days,0.11,12094.92,7.86,Nueva York,English,1548,11266,3,Health & Wellness,2024-03-05
DataTech Solutions,Display,Men 18-24,60 days,0.1,12908.71,5.4,Nueva York,Spanish,1312,13880,3,Tech Enthusiasts,2024-03-08
NexGen Systems,Display,Men 18-24,60 days,0.09,10155.49,7.58,Seattle,German,196,11007,6,Foodies,2024-03-05
DataTech Solutions,Email,Men 25-34,45 days,0.01,16897.13,3.79,Chicago,French,1100,12473,8,Outdoor Adventurers,2024-03-09
TechCorp,Display,Women 25-34,60 days,0.01,14332.7,7.39,Miami,German,270,2708,3,Outdoor Adventurers,2024-03-15
Alpha Innovations,Search,Men 18-24,60 days,0.11,8100.65,2.31,Los Ángeles,French,619,8418,8,Outdoor Adventurers,2024-03-09
DataTech Solutions,Display,Men 25-34,45 days,0.1,16057.77,7.33,Los Ángeles,Mandarin,1820,7730,10,Outdoor Adventurers,2024-03-17
Innovate Industries,Email,Men 18-24,45 days,0.04,17580.22,7.9,Nueva York,Spanish,457,13053,4,Fashionistas,2024-03-12
Alpha Innovations,Social Media,Men 18-24,45 days,0.03,18491.42,4.22,Miami,French,1111,19249,6,Fashionistas,2024-03-16
DataTech Solutions,Email,Women 35-44,60 days,0.07,18038.55,4.51,Nueva York,German,1054,19428,1,Tech Enthusiasts,2024-03-21
DataTech Solutions,Influencer,Men 25-34,30 days,0.06,18754.13,7.64,Los Ángeles,French,1789,6192,6,Fashionistas,2024-03-20
TechCorp,Display,All Ages,30 days,0.06,16008.67,5.12,Boston,English,1663,18369,2,Fashionistas,2024-03-22
NexGen Systems,Email,Men 18-24,60 days,0.01,13947.11,3.21,Chicago,Spanish,756,4917,4,Foodies,2024-03-14
Alpha Innovations,Influencer,Men 18-24,60 days,0.01,13804.37,3.24,Nueva Orleans,English,444,19481,4,Fashionistas,2024-03-15
NexGen Systems,Influencer,Women 25-34,60 days,0.01,8231.65,4.91,Nueva York,Mandarin,1765,15346,1,Health & Wellness,2024-03-11
NexGen Systems,Display,Women 35-44,15 days,0.02,12673.26,7.13,San Francisco,German,1556,8372,8,Fashionistas,2024-03-24
NexGen Systems,Social Media,Men 18-24,15 days,0.01,14472.84,7.76,Los Ángeles,Spanish,1329,15637,3,Foodies,2024-03-24
DataTech Solutions,Social Media,Men 18-24,60 days,0.13,8116.98,6.45,Seattle,Mandarin,1638,9738,2,Outdoor Adventurers,2024-03-03
DataTech Solutions,Search,Women 25-34,15 days,0.11,19907.91,6.35,Nueva York,French,1441,2582,7,Outdoor Adventurers,2024-03-25
DataTech Solutions,Influencer,Women 25-34,30 days,0.07,13902.51,4.54,Chicago,German,1502,1493,6,Fashionistas,2024-03-15
NexGen Systems,Search,Women 35-44,15 days,0.02,11857.86,7.26,Chicago,German,1883,4321,3,Outdoor Adventurers,2024-03-23
TechCorp,Social Media,Women 25-34,30 days,0.05,13444.93,5.12,Seattle,Mandarin,659,15279,1,Tech Enthusiasts,2024-03-16
DataTech Solutions,Display,Women 25-34,15 days,0.11,6260.44,7.84,Nueva York,Spanish,1635,8738,9,Outdoor Adventurers,2024-03-19
DataTech Solutions,Email,Women 25-34,15 days,0.07,12437.72,6.0,Boston,English,1662,4450,6,Tech Enthusiasts,2024-03-26
Innovate Industries,Email,Men 18-24,30 days,0.08,10090.48,3.38,Seattle,Spanish,1461,16088,2,Foodies,2024-03-06
TechCorp,Display,Men 25-34,15 days,0.06,11124.22,3.63,Los Ángeles,French,667,14337,7,Health & Wellness,2024-03-24
Alpha Innovations,Social Media,All Ages,45 days,0.01,19164.99,6.13,Miami,Spanish,1172,13844,3,Foodies,2024-03-20
NexGen Systems,Social Media,All Ages,15 days,0.09,12681.96,4.9,Seattle,Mandarin,706,9129,9,Tech Enthusiasts,2024-03-02
Innovate Industries,Display,Women 25-34,45 days,0.12,13778.72,2.92,Nueva York,French,199,17971,1,Fashionistas,2024-03-10
Alpha Innovations,Email,Men 25-34,15 days,0.03,18307.65,2.2,Miami,English,1772,13461,3,Health & Wellness,2024-03-05
TechCorp,Email,Women 25-34,60 days,0.14,10179.1,7.91,Miami,French,731,6187,7,Health & Wellness,2024-03-07
Alpha Innovations,Influencer,Men 25-34,15 days,0.13,10355.58,3.02,Chicago,English,671,7324,1,Tech Enthusiasts,2024-03-01
DataTech Solutions,Influencer,All Ages,60 days,0.1,19811.94,2.18,Miami,French,671,2700,5,Outdoor Adventurers,2024-03-17
TechCorp,Social Media,Women 35-44,45 days,0.1,7305.86,3.27,Chicago,Spanish,245,16063,8,Foodies,2024-03-25
Alpha Innovations,Social Media,Women 35-44,15 days,0.08,7430.7,4.99,Las Vegas,Mandarin,834,4006,10,Health & Wellness,2024-03-27
TechCorp,Influencer,Men 18-24,15 days,0.03,8103.98,4.14,Seattle,English,1967,10506,9,Health & Wellness,2024-03-06
TechCorp,Search,Women 25-34,45 days,0.13,15317.32,3.25,Chicago,English,262,10428,4,Tech Enthusiasts,2024-03-11
DataTech Solutions,Social Media,Women 25-34,30 days,0.1,15364.36,2.74,Miami,English,1262,2243,9,Tech Enthusiasts,2024-03-24
TechCorp,Email,Women 35-44,30 days,0.06,12324.65,4.67,Miami,Mandarin,453,10177,3,Tech Enthusiasts,2024-03-10
DataTech Solutions,Social Media,Women 35-44,60 days,0.07,14425.95,6.7,Las Vegas,English,1256,19074,10,Outdoor Adventurers,2024-03-09
Alpha Innovations,Display,All Ages,45 days,0.14,8525.12,2.09,Washington D.C.,German,833,7010,8,Fashionistas,2024-03-23
DataTech Solutions,Search,All Ages,60 days,0.08,15476.9,2.06,Los Ángeles,English,1367,7157,4,Foodies,2024-03-27
Innovate Industries,Display,Men 25-34,45 days,0.02,8245.36,5.27,Washington D.C.,English,615,15384,2,Tech Enthusiasts,2024-03-01
DataTech Solutions,Influencer,Men 18-24,15 days,0.09,6915.34,5.05,Los Ángeles,Spanish,106,19306,2,Tech Enthusiasts,2024-03-12
DataTech Solutions,Search,Women 25-34,30 days,0.04,10403.32,7.0,Nueva York,Spanish,1385,10703,3,Tech Enthusiasts,2024-03-16
Alpha Innovations,Influencer,Women 25-34,45 days,0.07,5540.64,3.29,San Francisco,German,1459,14684,1,Fashionistas,2024-03-25
Innovate Industries,Influencer,All Ages,15 days,0.07,13001.05,7.64,Nueva York,French,433,4862,5,Health & Wellness,2024-03-29
TechCorp,Email,Men 25-34,60 days,0.13,5639.14,7.32,Nueva Orleans,Spanish,1276,2706,6,Fashionistas,2024-03-13
TechCorp,Email,Men 18-24,60 days,0.11,18190.08,6.46,Nueva Orleans,English,1507,19019,2,Health & Wellness,2024-03-14
Alpha Innovations,Social Media,Men 18-24,60 days,0.12,15853.87,3.27,Los Ángeles,French,665,2263,9,Health & Wellness,2024-03-06
DataTech Solutions,Display,All Ages,60 days,0.02,15332.67,6.23,Miami,German,476,10059,7,Health & Wellness,2024-03-05
Innovate Industries,Email,Men 25-34,60 days,0.13,19342.78,7.85,Chicago,French,616,3729,10,Outdoor Adventurers,2024-03-23
NexGen Systems,Search,Men 18-24,30 days,0.09,8039.25,3.2,San Francisco,Mandarin,747,6318,4,Health & Wellness,2024-03-14
DataTech Solutions,Social Media,Women 35-44,15 days,0.09,19430.5,3.63,Nueva York,French,1798,8408,6,Health & Wellness,2024-03-29
Innovate Industries,Email,Men 25-34,45 days,0.08,7268.46,3.26,Las Vegas,Mandarin,566,19139,7,Foodies,2024-03-08
NexGen Systems,Social Media,Women 25-34,45 days,0.12,11690.11,3.6,Nueva York,French,1184,4249,9,Foodies,2024-03-19
Alpha Innovations,Display,Men 25-34,60 days,0.02,11309.76,5.69,Chicago,English,1350,13903,4,Tech Enthusiasts,2024-03-27
Alpha Innovations,Social Media,Men 25-34,45 days,0.1,12793.62,4.93,Seattle,German,1988,3916,9,Outdoor Adventurers,2024-03-13
DataTech Solutions,Influencer,Men 18-24,30 days,0.03,15484.57,4.11,Boston,Spanish,1548,1695,2,Fashionistas,2024-03-24
Innovate Industries,Influencer,Women 25-34,60 days,0.15,11912.42,2.97,Chicago,German,435,11855,9,Health & Wellness,2024-03-15
DataTech Solutions,Social Media,Women 35-44,30 days,0.03,7921.1,4.07,Chicago,French,1679,2424,10,Outdoor Adventurers,2024-03-30
TechCorp,Influencer,Men 18-24,15 days,0.1,18204.33,7.76,Chicago,German,899,9962,8,Fashionistas,2024-03-17
DataTech Solutions,Email,Women 25-34,45 days,0.11,9349.73,3.98,Seattle,Mandarin,563,11026,6,Foodies,2024-03-09
Innovate Industries,Influencer,All Ages,15 days,0.05,10623.24,4.3,Miami,French,1133,14464,7,Health & Wellness,2024-03-26
Innovate Industries,Email,All Ages,60 days,0.01,10479.86,4.78,Nueva York,Spanish,1138,16711,10,Outdoor Adventurers,2024-03-10
NexGen Systems,Email,Women 25-34,60 days,0.06,14962.09,4.55,Miami,English,1829,17856,5,Outdoor Adventurers,2024-03-16
DataTech Solutions,Influencer,Men 18-24,60 days,0.14,14018.64,2.54,Nueva York,Mandarin,1827,1340,5,Tech Enthusiasts,2024-03-29
NexGen Systems,Display,Women 25-34,60 days,0.13,11292.6,6.41,San Francisco,French,932,16536,9,Health & Wellness,2024-03-14
DataTech Solutions,Influencer,All Ages,60 days,0.02,17785.2,7.93,Washington D.C.,English,1432,13109,4,Outdoor Adventurers,2024-03-08
Alpha Innovations,Influencer,All Ages,45 days,0.02,16780.52,4.44,Boston,Spanish,433,18009,7,Health & Wellness,2024-03-15
DataTech Solutions,Display,Women 25-34,60 days,0.09,8146.96,7.13,Las Vegas,German,1483,2650,2,Fashionistas,2024-03-10
Alpha Innovations,Display,Men 18-24,15 days,0.07,19918.63,7.39,Las Vegas,Spanish,1784,1434,5,Tech Enthusiasts,2024-03-02
TechCorp,Influencer,All Ages,30 days,0.02,5945.96,3.36,Las Vegas,German,883,9224,7,Tech Enthusiasts,2024-03-05
Innovate Industries,Email,Men 18-24,15 days,0.14,10917.85,7.01,Las Vegas,French,1455,12524,7,Outdoor Adventurers,2024-03-05
Innovate Industries,Email,Men 18-24,45 days,0.1,14913.31,3.9,Las Vegas,French,122,16261,8,Tech Enthusiasts,2024-03-28
NexGen Systems,Influencer,Women 25-34,30 days,0.08,6801.66,3.71,Nueva York,English,350,15369,1,Outdoor Adventurers,2024-03-10
TechCorp,Social Media,Men 25-34,15 days,0.15,12837.56,4.51,San Francisco,Spanish,430,1318,5,Foodies,2024-03-18
Alpha Innovations,Email,Women 35-44,45 days,0.05,11485.46,2.79,Seattle,German,1081,8205,4,Health & Wellness,2024-03-03
TechCorp,Email,All Ages,15 days,0.13,5135.39,4.86,Nueva York,French,732,15682,6,Fashionistas,2024-03-11
TechCorp,Email,Women 25-34,60 days,0.11,9901.23,5.2,Boston,German,884,16808,7,Health & Wellness,2024-03-26
NexGen Systems,Influencer,Men 18-24,15 days,0.11,17517.12,7.83,Nueva Orleans,French,1478,19650,9,Health & Wellness,2024-03-20
TechCorp,Email,Women 25-34,60 days,0.03,6800.53,3.85,Chicago,Mandarin,124,12620,5,Health & Wellness,2024-03-23
DataTech Solutions,Social Media,Women 25-34,15 days,0.13,17434.57,4.72,Nueva York,Spanish,1966,17696,8,Tech Enthusiasts,2024-03-22
TechCorp,Social Media,Women 25-34,60 days,0.07,10073.69,3.97,San Francisco,Mandarin,494,4315,6,Foodies,2024-03-23
DataTech Solutions,Search,Men 25-34,45 days,0.11,12578.09,3.43,Las Vegas,English,901,2609,3,Tech Enthusiasts,2024-03-12
DataTech Solutions,Search,All Ages,60 days,0.02,5664.82,2.31,Washington D.C.,French,1648,10530,1,Outdoor Adventurers,2024-03-06
NexGen Systems,Social Media,Women 35-44,60 days,0.04,9546.72,3.56,Boston,Mandarin,1557,19603,3,Tech Enthusiasts,2024-03-21
NexGen Systems,Display,Women 25-34,15 days,0.07,7543.2,3.66,Chicago,English,532,17486,5,Outdoor Adventurers,2024-03-19
Alpha Innovations,Email,Men 25-34,45 days,0.05,15203.08,2.44,Washington D.C.,Spanish,1882,3902,1,Fashionistas,2024-03-27
Innovate Industries,Email,Men 18-24,45 days,0.15,13688.73,7.94,Washington D.C.,English,1120,4226,3,Health & Wellness,2024-03-13
NexGen Systems,Influencer,All Ages,45 days,0.14,14477.64,4.12,Miami,Spanish,726,19467,3,Fashionistas,2024-03-08
TechCorp,Email,Women 35-44,45 days,0.07,11748.56,6.44,San Francisco,Mandarin,1868,1932,8,Outdoor Adventurers,2024-03-30
NexGen Systems,Email,Women 25-34,30 days,0.09,12615.7,3.74,Los Ángeles,French,473,7075,2,Foodies,2024-03-18
Innovate Industries,Email,Men 25-34,30 days,0.04,9827.86,2.18,Boston,French,614,6291,4,Fashionistas,2024-03-28
TechCorp,Influencer,All Ages,30 days,0.07,14143.99,3.28,Seattle,Spanish,1736,4414,4,Fashionistas,2024-03-02
DataTech Solutions,Social Media,All Ages,15 days,0.1,12085.16,7.08,Washington D.C.,Mandarin,860,15779,10,Health & Wellness,2024-03-06
NexGen Systems,Search,Women 35-44,15 days,0.06,18834.89,7.8,Nueva Orleans,English,398,2152,3,Tech Enthusiasts,2024-03-05
Alpha Innovations,Email,Women 35-44,30 days,0.15,19408.01,3.82,Boston,French,670,13221,5,Tech Enthusiasts,2024-03-13
DataTech Solutions,Display,Women 25-34,15 days,0.03,14181.62,7.71,Los Ángeles,German,974,19357,6,Fashionistas,2024-03-18
DataTech Solutions,Email,Men 18-24,45 days,0.14,18553.88,4.05,Nueva York,German,1272,7456,4,Foodies,2024-03-15
NexGen Systems,Email,Women 35-44,30 days,0.06,18208.45,5.93,Chicago,Mandarin,330,18515,5,Health & Wellness,2024-03-23
Alpha Innovations,Social Media,Women 35-44,15 days,0.05,10010.79,2.86,Las Vegas,Mandarin,419,3800,1,Foodies,2024-03-23
TechCorp,Search,Men 18-24,45 days,0.13,16463.07,2.58,Los Ángeles,French,1949,3052,4,Fashionistas,2024-03-30
DataTech Solutions,Influencer,Men 18-24,60 days,0.01,11222.65,2.58,Boston,English,399,13401,9,Tech Enthusiasts,2024-03-05
DataTech Solutions,Display,All Ages,15 days,0.09,8105.59,3.82,Nueva York,Mandarin,1545,15893,3,Tech Enthusiasts,2024-03-16
