Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
NexGen Systems,Display,Men 18-24,45 days,0.12,6082.84,2.25,Washington D.C.,English,1796,10424,7,Tech Enthusiasts,2022-10-19
NexGen Systems,Social Media,Women 35-44,60 days,0.08,12490.51,2.85,Las Vegas,French,300,17117,10,Outdoor Adventurers,2022-10-10
NexGen Systems,Social Media,Men 25-34,60 days,0.14,15031.14,4.47,Miami,English,863,18479,4,Outdoor Adventurers,2022-10-14
Alpha Innovations,Influencer,Women 35-44,30 days,0.12,7548.24,3.87,Chicago,Spanish,600,5854,1,Outdoor Adventurers,2022-10-12
NexGen Systems,Email,All Ages,60 days,0.11,11341.59,6.64,San Francisco,Mandarin,715,6696,2,Tech Enthusiasts,2022-10-11
TechCorp,Display,All Ages,45 days,0.15,15350.72,5.49,Washington D.C.,Mandarin,1450,10992,8,Foodies,2022-10-16
Alpha Innovations,Search,Men 18-24,45 days,0.07,17350.96,6.82,Los Ángeles,Spanish,464,12215,7,Outdoor Adventurers,2022-10-23
DataTech Solutions,Display,Women 25-34,60 days,0.02,14916.44,4.02,Nueva Orleans,French,1314,8090,4,Outdoor Adventurers,2022-10-27
TechCorp,Social Media,Men 18-24,15 days,0.02,16808.73,6.6,Chicago,Mandarin,1678,7789,8,Tech Enthusiasts,2022-10-19
Innovate Industries,Social Media,Men 18-24,30 days,0.09,15736.75,5.92,Miami,German,1985,13146,7,Outdoor Adventurers,2022-10-20
TechCorp,Search,All Ages,30 days,0.04,14587.8,5.32,Washington D.C.,Mandarin,1319,2945,3,Foodies,2022-10-19
Alpha Innovations,Display,Men 18-24,60 days,0.07,5365.52,6.0,Boston,French,1928,14926,7,Health & Wellness,2022-10-02
Innovate Industries,Search,Men 25-34,15 days,0.05,5340.64,4.66,Nueva Orleans,English,1320,7217,8,Outdoor Adventurers,2022-10-20
Alpha Innovations,Email,Men 25-34,60 days,0.03,11903.95,2.25,Washington D.C.,French,453,19299,6,Fashionistas,2022-10-11
NexGen Systems,Influencer,Women 35-44,30 days,0.02,6262.87,6.33,Nueva Orleans,Spanish,1858,9675,3,Outdoor Adventurers,2022-10-04
Alpha Innovations,Social Media,Men 25-34,15 days,0.08,6406.35,2.06,Washington D.C.,Mandarin,1409,10544,1,Outdoor Adventurers,2022-10-14
Alpha Innovations,Influencer,Men 25-34,45 days,0.14,13887.98,3.42,Las Vegas,Spanish,662,16980,7,Health & Wellness,2022-10-19
TechCorp,Influencer,All Ages,30 days,0.15,9938.64,3.68,Nueva York,German,172,6654,3,Tech Enthusiasts,2022-10-12
Innovate Industries,Display,Women 35-44,15 days,0.03,10499.58,5.4,Miami,Spanish,1169,18492,2,Tech Enthusiasts,2022-10-19
TechCorp,Email,Men 25-34,60 days,0.06,18246.27,7.54,San Francisco,English,1781,8320,7,Fashionistas,2022-10-26
NexGen Systems,Display,Men 25-34,15 days,0.11,8749.32,4.08,Los Ángeles,Spanish,286,16405,3,Outdoor Adventurers,2022-10-08
Innovate Industries,Email,Women 35-44,45 days,0.07,17305.57,7.32,Nueva Orleans,German,1012,18719,10,Tech Enthusiasts,2022-10-02
TechCorp,Email,All Ages,15 days,0.15,19292.06,2.21,San Francisco,German,1042,11690,7,Tech Enthusiasts,2022-10-01
TechCorp,Social Media,Women 35-44,15 days,0.04,13857.15,5.46,Washington D.C.,Mandarin,1990,11308,9,Health & Wellness,2022-10-13
NexGen Systems,Search,Men 18-24,60 days,0.05,15943.42,7.86,Seattle,French,125,6011,5,Outdoor Adventurers,2022-10-26
Innovate Industries,Display,Women 25-34,30 days,0.08,16642.24,2.01,Seattle,Mandarin,148,3947,9,Outdoor Adventurers,2022-10-27
Alpha Innovations,Search,Men 25-34,30 days,0.13,10234.83,6.37,Los Ángeles,Spanish,1440,10343,2,Outdoor Adventurers,2022-10-05
NexGen Systems,Display,All Ages,30 days,0.03,19143.68,7.93,Los Ángeles,German,488,10912,2,Health & Wellness,2022-10-05
TechCorp,Search,Women 35-44,15 days,0.02,10445.79,5.8,Nueva Orleans,French,1570,6075,2,Outdoor Adventurers,2022-10-16
Innovate Industries,Display,Women 35-44,15 days,0.09,6325.47,4.61,Seattle,French,1418,16538,8,Outdoor Adventurers,2022-10-15
Alpha Innovations,Influencer,Men 18-24,45 days,0.14,17526.75,4.24,Washington D.C.,Spanish,1788,12354,7,Outdoor Adventurers,2022-10-20
TechCorp,Influencer,All Ages,15 days,0.01,9376.47,5.38,Los Ángeles,Spanish,1165,11482,1,Foodies,2022-10-03
Alpha Innovations,Display,Women 25-34,30 days,0.12,5294.2,3.79,Las Vegas,French,1427,7368,1,Tech Enthusiasts,2022-10-13
TechCorp,Social Media,Women 35-44,60 days,0.09,7436.46,2.99,Los Ángeles,English,593,16888,9,Outdoor Adventurers,2022-10-13
