Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Influencer,Men 25-34,60 days,0.03,8541.19,5.63,San Francisco,German,1711,1131,1,Foodies,2022-05-25
Alpha Innovations,Influencer,Men 18-24,60 days,0.04,10704.34,5.49,Nueva York,Mandarin,828,17888,6,Outdoor Adventurers,2022-05-18
Innovate Industries,Influencer,All Ages,30 days,0.09,17510.06,3.25,Los Ángeles,Spanish,1419,8640,4,Tech Enthusiasts,2022-05-03
DataTech Solutions,Email,Women 25-34,45 days,0.04,16596.68,2.72,Chicago,Mandarin,1008,15412,1,Tech Enthusiasts,2022-05-18
Innovate Industries,Display,Women 25-34,60 days,0.06,10655.63,4.99,San Francisco,English,1997,19746,1,Fashionistas,2022-05-18
TechCorp,Email,Women 35-44,60 days,0.1,11672.17,3.14,Los Ángeles,English,1226,16520,8,Foodies,2022-05-21
NexGen Systems,Email,All Ages,60 days,0.04,6115.37,6.76,Los Ángeles,Spanish,816,1655,10,Health & Wellness,2022-05-14
DataTech Solutions,Search,Women 35-44,30 days,0.02,5473.77,2.16,Los Ángeles,German,1409,5718,1,Outdoor Adventurers,2022-05-28
Innovate Industries,Display,Women 25-34,45 days,0.12,9288.92,6.55,Boston,English,486,11940,4,Fashionistas,2022-05-25
Innovate Industries,Email,Men 18-24,45 days,0.13,15621.15,6.95,San Francisco,French,1597,9467,6,Outdoor Adventurers,2022-05-10
Innovate Industries,Influencer,Men 25-34,30 days,0.14,19805.22,5.78,Seattle,French,801,16153,4,Outdoor Adventurers,2022-05-11
DataTech Solutions,Display,All Ages,60 days,0.09,17492.25,7.21,Nueva York,Spanish,1345,19202,8,Health & Wellness,2022-05-01
Innovate Industries,Display,Men 25-34,30 days,0.09,8176.89,4.14,Chicago,Spanish,1232,19858,4,Tech Enthusiasts,2022-05-23
DataTech Solutions,Social Media,Women 25-34,45 days,0.15,16311.63,7.6,Miami,French,1969,13301,9,Health & Wellness,2022-05-21
TechCorp,Display,Men 25-34,15 days,0.13,5394.69,3.7,San Francisco,French,469,4546,10,Fashionistas,2022-05-27
DataTech Solutions,Email,Men 25-34,60 days,0.02,9116.05,3.7,Las Vegas,Mandarin,1780,16299,2,Health & Wellness,2022-05-22
DataTech Solutions,Social Media,Men 18-24,45 days,0.09,8797.27,6.39,Los Ángeles,French,542,8959,2,Fashionistas,2022-05-02
