Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
NexGen Systems,Search,All Ages,15 days,0.14,16506.2,6.52,San Francisco,Mandarin,1705,5158,5,Health & Wellness,2022-01-16
NexGen Systems,Social Media,Men 25-34,30 days,0.02,17498.85,7.24,Seattle,French,1981,12250,1,Foodies,2022-01-14
Innovate Industries,Social Media,Men 25-34,60 days,0.08,10298.57,2.06,Nueva York,German,847,18196,9,Outdoor Adventurers,2022-01-16
NexGen Systems,Display,Men 25-34,60 days,0.04,6068.63,2.88,Las Vegas,Spanish,1971,3953,6,Outdoor Adventurers,2022-01-05
Alpha Innovations,Search,All Ages,45 days,0.03,19411.48,7.52,Nueva Orleans,German,452,1340,4,Outdoor Adventurers,2022-01-25
TechCorp,Influencer,Men 25-34,45 days,0.02,15323.56,4.47,Seattle,Spanish,1885,15169,3,Health & Wellness,2022-01-23
DataTech Solutions,Search,Women 25-34,30 days,0.03,19762.37,4.03,Chicago,Spanish,1986,10611,8,Fashionistas,2022-01-10
DataTech Solutions,Search,All Ages,30 days,0.05,15191.26,7.03,Seattle,English,1653,19545,5,Health & Wellness,2022-01-18
Innovate Industries,Social Media,Women 25-34,45 days,0.11,15806.26,2.91,Boston,Mandarin,350,15464,5,Fashionistas,2022-01-30
Innovate Industries,Email,All Ages,45 days,0.13,16552.61,7.78,Chicago,Mandarin,376,11305,1,Tech Enthusiasts,2022-01-09
Innovate Industries,Influencer,Men 25-34,15 days,0.02,13623.59,5.02,Nueva Orleans,Mandarin,1976,13196,4,Outdoor Adventurers,2022-01-29
TechCorp,Display,Men 18-24,30 days,0.11,12310.43,6.86,Washington D.C.,German,1836,2932,4,Foodies,2022-01-22
Innovate Industries,Influencer,Men 25-34,45 days,0.02,17330.81,3.63,Los Ángeles,German,1103,15758,10,Foodies,2022-01-03
DataTech Solutions,Display,Women 35-44,15 days,0.08,7100.11,4.24,Nueva Orleans,English,707,1642,9,Health & Wellness,2022-01-17
Alpha Innovations,Social Media,Women 35-44,45 days,0.02,6920.92,5.31,Seattle,German,1573,16558,9,Fashionistas,2022-01-13
TechCorp,Display,Women 25-34,30 days,0.08,14250.39,6.1,Nueva Orleans,French,1360,18791,8,Health & Wellness,2022-01-20
NexGen Systems,Influencer,Men 25-34,45 days,0.15,10694.34,2.88,Las Vegas,Spanish,1025,19328,2,Outdoor Adventurers,2022-01-17
